index, dist, name, type, hide
13/1, 10, I am one of Zagabond's secret identities, image/png, false
13/2, 20, Minted a Gold Ape, image/png, false
13/3, 50, I flipped my way from .1ETH to 1000ETH and wrote a thread about it, image/png, false
13/4, 100, Still holding the punks I minted , image/png, false
13/5, 200, Made my fortune in early Bitcoin, image/png, false
13/6, 300, I got on the Yoot list , image/png, false
13/7, 350, I've had sex in the past year , image/png, false
13/8, 400, I predicted the LUNA collapse, image/png, false
13/9, 500, I minted a PUNKAYC, image/png, false
13/10, 8069, Got nuthin to flex , image/png, false
