id, category, name, more_names
132, Fur, Fur : Zombie, Zombie
133, Fur, Fur : White, White
134, Fur, Fur : Cheetah, Cheetah
135, Fur, Fur : Red, Red
136, Fur, Fur : Blue, Blue
137, Fur, Fur : Gray, Gray
138, Fur, Fur : Pink, Pink
139, Fur, Fur : Cream, Cream
140, Fur, Fur : Tan, Tan
141, Fur, Fur : Black, Black
142, Fur, Fur : Golden Brown, Golden Brown
143, Fur, Fur : Brown, Brown
144, Fur, Fur : Dark Brown, Dark Brown
145, Background, Background : Punk blue, Solid Punk blue
146, Background, Background : Gray, Solid Gray
147, Background, Background : Yellow, Solid Yellow
148, Background, Background : Purple, Solid Purple
149, Background, Background : Blue, Solid Blue
150, Background, Background : Navy Green, Solid Navy Green
151, Background, Background : Aquamarine, Solid Aquamarine
152, Background, Background : Orange, Solid Orange
153, Soul, Soul : 50% Punk 50% Ape, 50% Punk 50% Ape
154, Soul, Soul : 80% Punk 20% Ape, 80% Punk 20% Ape
155, Soul, Soul : 20% Punk 80% Ape, 20% Punk 80% Ape
156, Soul, Soul : 10% Punk 90% Ape, 10% Punk 90% Ape
157, Soul, Soul : 90% Punk 10% Ape, 90% Punk 10% Ape
158, Soul, Soul : 25% Punk 25% Ape, 25% Punk 25% Ape
159, Flex, Flex : I have 61 Apes, I have 61 Apes
160, Flex, Flex : I am one of Zagabond's secret identities, I am one of Zagabond's secret identities
161, Flex, Flex : Minted a Gold Ape, Minted a Gold Ape
162, Flex, Flex : I flipped my way from .1ETH to 1000ETH and wrote a thread about it, I flipped my way from .1ETH to 1000ETH and wrote a thread about it
163, Flex, Flex : Still holding the punks I minted, Still holding the punks I minted
164, Flex, Flex : Made my fortune in early Bitcoin, Made my fortune in early Bitcoin
165, Flex, Flex : I got on the Yoot list, I got on the Yoot list
166, Flex, Flex : I've had sex in the past year, I've had sex in the past year
167, Flex, Flex : I predicted the LUNA collapse, I predicted the LUNA collapse
168, Flex, Flex : I minted a PUNKAYC, I minted a PUNKAYC
169, Flex, Flex : Got nuthin to flex, Got nuthin to flex
