index, name, type, hide
5/118, Drool, image/png, false
5/119, Drool, image/png, false
5/120, Moody, image/png, false
5/121, Robotic, image/png, false
5/122, Annoyed, image/png, false
5/123, Bunny, image/png, false
5/124, Chew, image/png, false
5/125, Chew, image/png, false
5/126, Cigarette, image/png, false
5/127, Drool, image/png, false
5/128, Grin, image/png, false
5/129, Laugh, image/png, false
5/130, Laugh, image/png, false
5/131, Pout, image/png, false
5/132, W, image/png, false
5/133, W, image/png, false
5/134, W, image/png, false
5/135, W, image/png, false
5/136, W, image/png, false
5/137, Laugh, image/png, false
5/138, Laugh, image/png, false
5/139, Laugh, image/png, false
5/140, Bunny, image/png, false
5/141, Bunny, image/png, false
5/142, Bunny, image/png, false
5/143, Chew, image/png, false
5/144, Chew, image/png, false
5/145, Chew, image/png, false
5/146, Pout, image/png, false
5/147, Cigarette, image/png, false
5/148, Cigarette, image/png, false
5/149, Cigarette, image/png, false
5/150, Pout, image/png, false
5/151, Pout, image/png, false
5/152, Pout, image/png, false
5/153, Annoyed, image/png, false
5/154, Annoyed, image/png, false
5/155, Annoyed, image/png, false
5/156, Annoyed, image/png, false
5/157, Chew, image/png, false
5/158, Grin, image/png, false
5/159, W, image/png, false
5/160, Drool, image/png, false
5/161, Drool, image/png, false
5/162, Drool, image/png, false
5/163, Drool, image/png, false
5/164, None (Glitch), image/png, true
5/165, Bubblegum, image/png, false
5/166, Old Fashioned, image/png, false
5/167, Rainbow, image/png, false
5/168, Rainbow, image/png, false
5/169, Bunny Suit, image/png, false
5/170, None (Gas Mask), image/png, true
5/171, Moody (Ninja), image/png, true
6/0, None, image/png, false
6/1, Carrot Cap, image/png, false
6/2, Carrot Headband, image/png, false
6/3, Demon Horns Long, image/png, false
6/4, Backwards Cap, image/png, false
6/5, Orange Headband, image/png, false
6/6, Top Hat, image/png, false
6/7, Gray Bandana, image/png, false
6/8, Green Bandana, image/png, false
6/9, Blue Bandana, image/png, false
6/10, Pirate Hat, image/png, false
6/11, Cowboy Hat, image/png, false
6/12, Red Bandana, image/png, false
6/13, Halo, image/png, false
6/14, Orange Beanie, image/png, false
6/15, Anemone Flower, image/png, false
6/16, Bow, image/png, false
6/17, Carrot Leaf, image/png, false
6/18, Rubber Duck, image/png, false
6/19, Detached Robo, image/png, false
6/20, Demon Horns Short, image/png, false
6/21, Cowboy Hat, image/png, false
6/22, Cowboy Hat, image/png, false
6/23, Diamond, image/png, false
6/24, Visor Blue, image/png, false
6/25, Visor Green, image/png, false
6/26, Visor Pink, image/png, false
6/27, Visor Red, image/png, false
6/28, Golden Nugget, image/png, false
6/29, None  (Glitch), image/png, true
6/30, None (Gray Onesie), image/png, false
6/31, None (Gas Mask), image/png, true
6/32, None (Bunny Suit), image/png, true
6/33, None (Gas Mask), image/png, true
6/34, None (Rainbow Gold), image/png, true
6/35, Ninja Headband, image/png, false
7/0, Half Closed, image/png, false
7/1, T T, image/png, false
7/2, Anime, image/png, false
7/3, Awe, image/png, false
7/4, Lashes, image/png, false
7/5, Sleepy, image/png, false
7/6, Squint, image/png, false
7/7, Eye Patch, image/png, false
7/8, Normal, image/png, false
7/9, Normal, image/png, false
7/10, Normal, image/png, false
7/11, Normal, image/png, false
7/12, Normal, image/png, false
7/13, Normal, image/png, false
7/14, Normal, image/png, false
7/15, X, image/png, false
7/16, Closed, image/png, false
7/17, X, image/png, false
7/18, Closed, image/png, false
7/19, Closed, image/png, false
7/20, Closed, image/png, false
7/21, Closed, image/png, false
7/22, Closed, image/png, false
7/23, Closed, image/png, false
7/24, X, image/png, false
7/25, X, image/png, false
7/26, X, image/png, false
7/27, X, image/png, false
7/28, Normal White, image/png, false
7/29, Robot Angry, image/png, false
7/30, Robot Blue V 1, image/png, false
7/31, Robot Blue V 2, image/png, false
7/32, Robot Blue V 3, image/png, false
7/33, Robot Half Closed, image/png, false
7/34, Robot Half Moon, image/png, false
7/35, Robot Sorry, image/png, false
7/36, Robot Blue V 1, image/png, false
7/37, Robot Blue V 1, image/png, false
7/38, Robot Blue V 1, image/png, false
7/39, Robot Blue V 2, image/png, false
7/40, Robot Blue V 2, image/png, false
7/41, Robot Blue V 2, image/png, false
7/42, Robot Blue V 3, image/png, false
7/43, Robot Blue V 3, image/png, false
7/44, Robot Blue V 3, image/png, false
7/45, Robot Sorry, image/png, false
7/46, Robot Sorry, image/png, false
7/47, Robot Sorry, image/png, false
7/48, Robot Half Closed, image/png, false
7/49, Robot Half Closed, image/png, false
7/50, Robot Half Closed, image/png, false
7/51, Robot Half Moon, image/png, false
7/52, Robot Half Moon, image/png, false
7/53, Robot Half Moon, image/png, false
7/54, Terminator, image/png, false
7/55, Terminator, image/png, false
7/56, Terminator, image/png, false
7/57, Terminator, image/png, false
7/58, Half Closed, image/png, false
7/59, Anime, image/png, false
7/60, Awe, image/png, false
7/61, Closed, image/png, false
7/62, Half Closed, image/png, false
7/63, Lashes, image/png, false
7/64, Sleepy, image/png, false
7/65, Squint, image/png, false
7/66, T T, image/png, false
7/67, X, image/png, false
7/68, T T, image/png, false
7/69, X, image/png, false
7/70, Eye Patch White, image/png, false
7/71, Sage White, image/png, false
7/72, None (Glitch), image/png, true
7/73, None, image/png, false
7/74, None (Gas Mask), image/png, true
7/75, Normal (Rainbow Gold), image/png, true
7/76, Sage, image/png, false
8/0, Naked, image/png, true
8/1, Moon T Shirt, image/png, false
8/2, Diamond T Shirt, image/png, false
8/3, Carrot Tanktop, image/png, false
8/4, Black Overalls, image/png, false
8/5, Lumberjack, image/png, false
8/6, Tom Boy, image/png, false
8/7, Apple Tanktop, image/png, false
8/8, Leather Jacket, image/png, false
8/9, Classic Shirt, image/png, false
8/10, Blue Robe, image/png, false
8/11, Cardigan, image/png, false
8/12, Office, image/png, false
8/13, Blue Shirt, image/png, false
8/14, Pink Shirt, image/png, false
8/15, Gold Chains, image/png, false
8/16, Classic Suit, image/png, false
8/17, Fry, image/png, false
8/18, Silver Jacket, image/png, false
8/19, Safety Vest, image/png, false
