index, dist, name, type, hide
8/39, 7, Pacific Tree Frog, image/png, false
8/40, 10, Sonoran Desert Toad, image/png, false
8/41, 10, Sonoran Desert Toad, image/png, false
8/42, 10, Sonoran Desert Toad, image/png, false
8/43, 10, Cliff Chirping Frog, image/png, false
8/44, 10, Skeleton, image/png, false
8/45, 10, Skeleton, image/png, false
8/46, 20, Sonoran Desert Toad, image/png, false
8/47, 20, Sonoran Desert Toad, image/png, false
8/48, 20, Sonoran Desert Toad, image/png, false
8/49, 20, Rocky Mountain Toad, image/png, false
8/50, 20, Cliff Chirping Frog, image/png, false
8/51, 22, Sonoran Desert Toad, image/png, false
8/52, 25, Beeping Froglet, image/png, false
8/53, 25, Northern Laughing Tree Frog, image/png, false
8/54, 25, Cliff Chirping Frog, image/png, false
8/55, 25, Eastern Stony Creek Frog, image/png, false
8/56, 25, Dusky Toadlet, image/png, false
8/57, 25, Rocky Mountain Toad, image/png, false
8/58, 25, Pacific Tree Frog, image/png, false
8/59, 30, Pacific Tree Frog, image/png, false
8/60, 30, Cliff Chirping Frog, image/png, false
8/61, 30, Pacific Tree Frog, image/png, false
8/62, 30, Cliff Chirping Frog, image/png, false
8/63, 30, Pacific Tree Frog, image/png, false
8/64, 30, Rocky Mountain Toad, image/png, false
8/65, 30, Dusky Toadlet, image/png, false
8/66, 35, Northern Laughing Tree Frog, image/png, false
8/67, 35, Northern Laughing Tree Frog, image/png, false
8/68, 35, Northern Laughing Tree Frog, image/png, false
8/69, 35, Dusky Toadlet, image/png, false
8/70, 35, Eastern Stony Creek Frog, image/png, false
8/71, 35, Dusky Toadlet, image/png, false
8/72, 35, Eastern Stony Creek Frog, image/png, false
8/73, 37, Cliff Chirping Frog, image/png, false
8/74, 45, Cliff Chirping Frog, image/png, false
8/75, 45, Dusky Toadlet, image/png, false
8/76, 45, Eastern Stony Creek Frog, image/png, false
8/77, 45, Pacific Tree Frog, image/png, false
8/78, 45, Rocky Mountain Toad, image/png, false
8/79, 45, Dusky Toadlet, image/png, false
8/80, 45, Eastern Stony Creek Frog, image/png, false
8/81, 45, Rocky Mountain Toad, image/png, false
8/82, 45, Rocky Mountain Toad, image/png, false
8/83, 45, Northern Laughing Tree Frog, image/png, false
8/84, 70, Cliff Chirping Frog, image/png, false
8/85, 70, Dusky Toadlet, image/png, false
8/86, 70, Eastern Stony Creek Frog, image/png, false
8/87, 70, Rocky Mountain Toad, image/png, false
8/88, 72, Pacific Tree Frog, image/png, false
8/89, 81, Northern Laughing Tree Frog, image/png, false
8/90, 525, Beeping Froglet, image/png, false
8/91, 570, Beeping Froglet, image/png, false
8/92, 640, Beeping Froglet, image/png, false
8/93, 670, Beeping Froglet, image/png, false
8/94, 740, Beeping Froglet, image/png, false
9/0, 1666, Time Travel, image/png, false
9/1, 1666, Ability to Fly, image/png, false
9/2, 1668, Invisibility , image/png, false
10/0, 250, Light, image/png, false
10/1, 250, Dark, image/png, false
10/2, 300, Light Green, image/png, false
10/3, 325, Orange, image/png, false
10/4, 325, Light Pink, image/png, false
10/5, 325, Pale Blue-Green, image/png, false
10/6, 325, Punks , image/png, false
10/7, 350, Salmon , image/png, false
10/8, 350, Pale Green, image/png, false
10/9, 350, Pale Purple, image/png, false
10/10, 350, Light Yellow, image/png, false
10/11, 350, Mustard Yellow, image/png, false
10/12, 350, Light Purple , image/png, false
10/13, 400, Light Blue, image/png, false
10/14, 400, Pale Pink, image/png, false
